CODIGO,PERIODO,ENTRY_YEAR,SEMESTRE,FECHA
33111541,201210,2012,semestre 1,2012-02-01
66411591,201210,2012,semestre 1,2012-02-01
33103565,201210,2012,semestre 1,2012-02-01
66411104,201210,2012,semestre 1,2012-02-01
66409105,201210,2012,semestre 1,2012-02-01
77212520,201220,2012,semestre 2,2012-08-01
66306012,201220,2012,semestre 2,2012-08-01
33312504,201220,2012,semestre 2,2012-08-01
33211506,201220,2012,semestre 2,2012-08-01
33112527,201220,2012,semestre 2,2012-08-01
33112533,201220,2012,semestre 2,2012-08-01
66412077,201220,2012,semestre 2,2012-08-01
77207019,201220,2012,semestre 2,2012-08-01
55512567,201220,2012,semestre 2,2012-08-01
66307003,201310,2013,semestre 1,2013-02-01
66208507,201310,2013,semestre 1,2013-02-01
33210520,201320,2013,semestre 2,2013-08-01
66406026,201320,2013,semestre 2,2013-08-01
33313528,201320,2013,semestre 2,2013-08-01
33213518,201320,2013,semestre 2,2013-08-01
66111038,201320,2013,semestre 2,2013-08-01
55312024,201320,2013,semestre 2,2013-08-01
77213008,201410,2014,semestre 1,2014-02-01
66411091,201410,2014,semestre 1,2014-02-01
66413074,201410,2014,semestre 1,2014-02-01
66412112,201410,2014,semestre 1,2014-02-01
77214019,201410,2014,semestre 1,2014-02-01
33111021,201410,2014,semestre 1,2014-02-01
33412024,201410,2014,semestre 1,2014-02-01
77114019,201410,2014,semestre 1,2014-02-01
55311006,201420,2014,semestre 2,2014-08-01
33106059,201420,2014,semestre 2,2014-08-01
33110063,201420,2014,semestre 2,2014-08-01
11705027,201420,2014,semestre 2,2014-08-01
33213508,201420,2014,semestre 2,2014-08-01
77414015,201420,2014,semestre 2,2014-08-01
33113527,201420,2014,semestre 2,2014-08-01
55306004,201420,2014,semestre 2,2014-08-01
66211016,201420,2014,semestre 2,2014-08-01
55714544,201510,2015,semestre 1,2015-02-01
77215020,201510,2015,semestre 1,2015-02-01
55512078,201510,2015,semestre 1,2015-02-01
55513074,201510,2015,semestre 1,2015-02-01
88214509,201510,2015,semestre 1,2015-02-01
66414567,201510,2015,semestre 1,2015-02-01
55714545,201510,2015,semestre 1,2015-02-01
55513520,201510,2015,semestre 1,2015-02-01
33108003,201510,2015,semestre 1,2015-02-01
55714545,201520,2015,semestre 2,2015-08-01
55714544,201520,2015,semestre 2,2015-08-01
55714074,201520,2015,semestre 2,2015-08-01
66510515,201520,2015,semestre 2,2015-08-01
77207004,201520,2015,semestre 2,2015-08-01
33111059,201520,2015,semestre 2,2015-08-01
77114521,201520,2015,semestre 2,2015-08-01
99815506,201520,2015,semestre 2,2015-08-01
88215527,201520,2015,semestre 2,2015-08-01
33109539,201610,2016,semestre 1,2016-02-01
33103567,201610,2016,semestre 1,2016-02-01
55514561,201610,2016,semestre 1,2016-02-01
11708034,201610,2016,semestre 1,2016-02-01
92715520,201610,2016,semestre 1,2016-02-01
66416130,201610,2016,semestre 1,2016-02-01
55715075,201610,2016,semestre 1,2016-02-01
66407074,201610,2016,semestre 1,2016-02-01
66412105,201620,2016,semestre 2,2016-08-01
66412104,201620,2016,semestre 2,2016-08-01
55714055,201620,2016,semestre 2,2016-08-01
33111029,201620,2016,semestre 2,2016-08-01
11412504,201620,2016,semestre 2,2016-08-01
11710006,201620,2016,semestre 2,2016-08-01
55111508,201620,2016,semestre 2,2016-08-01
55511054,201620,2016,semestre 2,2016-08-01
66616530,201620,2016,semestre 2,2016-08-01
66613072,201620,2016,semestre 2,2016-08-01
55715540,201620,2016,semestre 2,2016-08-01
77416031,201710,2017,semestre 1,2017-02-01
55216008,201710,2017,semestre 1,2017-02-01
33214515,201710,2017,semestre 1,2017-02-01
88116020,201710,2017,semestre 1,2017-02-01
