PERIODO,COD_MAT,COD_DOCENTE,ENTRY_YEAR,SEMESTRE,FECHA
201210,11303,1329,2012,semestre 1,2012-02-01
201210,11304,3111,2012,semestre 1,2012-02-01
201210,11305,622,2012,semestre 1,2012-02-01
201210,11312,1329,2012,semestre 1,2012-02-01
201210,11313,1329,2012,semestre 1,2012-02-01
201210,11315,4016,2012,semestre 1,2012-02-01
201210,11318,4093,2012,semestre 1,2012-02-01
201210,11320,2547,2012,semestre 1,2012-02-01
201210,11322,2474,2012,semestre 1,2012-02-01
201210,11327,1728,2012,semestre 1,2012-02-01
201210,11401,249,2012,semestre 1,2012-02-01
201210,11402,3025,2012,semestre 1,2012-02-01
201210,11403,50,2012,semestre 1,2012-02-01
201210,11404,33,2012,semestre 1,2012-02-01
201210,11408,2402,2012,semestre 1,2012-02-01
201210,11409,302,2012,semestre 1,2012-02-01
201210,11410,2416,2012,semestre 1,2012-02-01
201210,11411,2912,2012,semestre 1,2012-02-01
201210,11414,1128,2012,semestre 1,2012-02-01
201210,11416,2897,2012,semestre 1,2012-02-01
201210,11417,4109,2012,semestre 1,2012-02-01
201210,11418,3130,2012,semestre 1,2012-02-01
201210,11419,3080,2012,semestre 1,2012-02-01
201210,11421,1419,2012,semestre 1,2012-02-01
201210,11423,33,2012,semestre 1,2012-02-01
201210,11424,3184,2012,semestre 1,2012-02-01
201210,11425,150,2012,semestre 1,2012-02-01
201210,11426,2212,2012,semestre 1,2012-02-01
201210,11429,309,2012,semestre 1,2012-02-01
201210,11429,2502,2012,semestre 1,2012-02-01
201210,11430,220,2012,semestre 1,2012-02-01
201210,11431,3184,2012,semestre 1,2012-02-01
201210,11432,776,2012,semestre 1,2012-02-01
201210,11434,752,2012,semestre 1,2012-02-01
201210,11435,49,2012,semestre 1,2012-02-01
201210,11436,1236,2012,semestre 1,2012-02-01
201210,11437,4045,2012,semestre 1,2012-02-01
201210,11438,1728,2012,semestre 1,2012-02-01
201210,11440,363,2012,semestre 1,2012-02-01
201210,11441,2416,2012,semestre 1,2012-02-01
201210,11444,4045,2012,semestre 1,2012-02-01
201210,11445,2945,2012,semestre 1,2012-02-01
201210,11446,3200,2012,semestre 1,2012-02-01
201210,11447,3100,2012,semestre 1,2012-02-01
201210,11448,33,2012,semestre 1,2012-02-01
201210,11449,594,2012,semestre 1,2012-02-01
201210,11450,1923,2012,semestre 1,2012-02-01
201210,11451,2945,2012,semestre 1,2012-02-01
201210,11452,594,2012,semestre 1,2012-02-01
201210,11452,36,2012,semestre 1,2012-02-01
201210,11454,2895,2012,semestre 1,2012-02-01
201210,11455,225,2012,semestre 1,2012-02-01
201210,11456,1923,2012,semestre 1,2012-02-01
201210,11457,363,2012,semestre 1,2012-02-01
201210,11458,1728,2012,semestre 1,2012-02-01
201210,11459,50,2012,semestre 1,2012-02-01
201210,11460,2897,2012,semestre 1,2012-02-01
201210,11461,4088,2012,semestre 1,2012-02-01
201210,11462,1728,2012,semestre 1,2012-02-01
201210,11463,4045,2012,semestre 1,2012-02-01
201210,11637,2323,2012,semestre 1,2012-02-01
201210,11638,3149,2012,semestre 1,2012-02-01
201210,11639,1236,2012,semestre 1,2012-02-01
201210,11643,2927,2012,semestre 1,2012-02-01
201210,11644,2323,2012,semestre 1,2012-02-01
201210,11653,752,2012,semestre 1,2012-02-01
201210,11655,3153,2012,semestre 1,2012-02-01
201210,11657,1254,2012,semestre 1,2012-02-01
201210,11658,220,2012,semestre 1,2012-02-01
201210,11659,220,2012,semestre 1,2012-02-01
201210,11663,1337,2012,semestre 1,2012-02-01
201210,11701,67,2012,semestre 1,2012-02-01
201210,11702,2940,2012,semestre 1,2012-02-01
201210,11703,4047,2012,semestre 1,2012-02-01
201210,11704,3111,2012,semestre 1,2012-02-01
201210,11705,3208,2012,semestre 1,2012-02-01
201210,11707,2482,2012,semestre 1,2012-02-01
201210,11708,2361,2012,semestre 1,2012-02-01
201210,11709,2323,2012,semestre 1,2012-02-01
201210,11710,302,2012,semestre 1,2012-02-01
201210,11710,3080,2012,semestre 1,2012-02-01
201210,11711,712,2012,semestre 1,2012-02-01
201210,11713,1329,2012,semestre 1,2012-02-01
201210,11714,4047,2012,semestre 1,2012-02-01
201210,11715,694,2012,semestre 1,2012-02-01
201210,11716,174,2012,semestre 1,2012-02-01
201210,11717,2980,2012,semestre 1,2012-02-01
201210,11717,4109,2012,semestre 1,2012-02-01
201210,11718,712,2012,semestre 1,2012-02-01
201210,11719,67,2012,semestre 1,2012-02-01
201210,11720,3080,2012,semestre 1,2012-02-01
201210,11721,2798,2012,semestre 1,2012-02-01
201210,11722,2474,2012,semestre 1,2012-02-01
201210,11723,3153,2012,semestre 1,2012-02-01
201210,11724,1240,2012,semestre 1,2012-02-01
201210,11725,50,2012,semestre 1,2012-02-01
201210,11726,49,2012,semestre 1,2012-02-01
201210,11727,2353,2012,semestre 1,2012-02-01
201210,11728,219,2012,semestre 1,2012-02-01
201210,11729,3080,2012,semestre 1,2012-02-01
201210,11730,2554,2012,semestre 1,2012-02-01
201210,11733,2515,2012,semestre 1,2012-02-01
201210,11734,2403,2012,semestre 1,2012-02-01
201210,11735,2353,2012,semestre 1,2012-02-01
201210,11736,50,2012,semestre 1,2012-02-01
201210,11737,4001,2012,semestre 1,2012-02-01
