PERIODO_COHORTE,PERIODO_ACADEMICO,CODIGO,TOT_MAT_INSCRITAS,CRED_INSCRITOS,MAT_APROBADAS,CRED_APROBADOS,ENTRY_YEAR,SEMESTRE,FECHA
201210,201210,11312001,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11312002,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11312003,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11312004,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11312005,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11312006,7,15,3,5,2012,semestre 1,2012-02-01
201210,201210,11312007,7,15,2,5,2012,semestre 1,2012-02-01
201210,201210,11312009,6,16,6,16,2012,semestre 1,2012-02-01
201210,201210,11312011,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11312014,7,18,4,10,2012,semestre 1,2012-02-01
201210,201210,11312015,7,16,7,16,2012,semestre 1,2012-02-01
201210,201210,11312016,8,17,5,11,2012,semestre 1,2012-02-01
201210,201210,11312017,7,19,7,19,2012,semestre 1,2012-02-01
201210,201210,11312018,8,17,6,13,2012,semestre 1,2012-02-01
201210,201210,11412001,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412002,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412003,8,17,8,17,2012,semestre 1,2012-02-01
201210,201210,11412004,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412005,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412006,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412007,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,11412008,7,15,5,9,2012,semestre 1,2012-02-01
201210,201210,11412011,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412012,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412013,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412015,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,11412016,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412017,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412018,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,11412020,8,17,4,10,2012,semestre 1,2012-02-01
201210,201210,11412021,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412022,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11412024,7,17,7,17,2012,semestre 1,2012-02-01
201210,201210,11412025,7,15,2,6,2012,semestre 1,2012-02-01
201210,201210,11412026,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,11412028,8,17,7,15,2012,semestre 1,2012-02-01
201210,201210,11712001,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712004,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,11712005,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712007,8,16,3,5,2012,semestre 1,2012-02-01
201210,201210,11712008,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712009,7,14,0,0,2012,semestre 1,2012-02-01
201210,201210,11712010,7,14,6,12,2012,semestre 1,2012-02-01
201210,201210,11712011,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712013,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712014,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712015,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712016,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712017,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,11712018,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712021,8,16,0,0,2012,semestre 1,2012-02-01
201210,201210,11712022,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712023,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712024,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712025,7,14,5,10,2012,semestre 1,2012-02-01
201210,201210,11712026,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712027,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712028,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712031,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712032,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712033,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,11712035,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712036,8,16,8,16,2012,semestre 1,2012-02-01
201210,201210,11712037,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712038,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,11712039,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712041,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11712042,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712043,7,14,6,12,2012,semestre 1,2012-02-01
201210,201210,11712044,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712045,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11712047,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912001,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912002,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,11912004,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912005,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912006,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912007,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912008,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912009,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912010,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912011,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912013,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912014,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912015,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912016,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912019,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912020,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912021,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912022,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,33112012,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112016,6,13,4,9,2012,semestre 1,2012-02-01
201210,201210,33112018,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112024,6,12,1,2,2012,semestre 1,2012-02-01
201210,201210,33112025,7,15,3,5,2012,semestre 1,2012-02-01
201210,201210,33112026,7,15,5,10,2012,semestre 1,2012-02-01
201210,201210,33112029,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112031,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112050,7,15,2,3,2012,semestre 1,2012-02-01
201210,201210,33212006,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212008,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,33212018,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212024,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212039,8,15,6,11,2012,semestre 1,2012-02-01
201210,201210,33312003,7,15,3,5,2012,semestre 1,2012-02-01
201210,201210,33312006,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312009,7,15,5,11,2012,semestre 1,2012-02-01
201210,201210,33312010,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312013,7,15,2,3,2012,semestre 1,2012-02-01
201210,201210,33312015,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312023,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312025,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312026,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312027,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312029,7,15,0,0,2012,semestre 1,2012-02-01
201210,201210,33312030,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312038,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312039,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312040,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312041,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312048,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312050,6,14,6,14,2012,semestre 1,2012-02-01
201210,201210,33312053,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312058,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,33312061,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312062,7,15,5,10,2012,semestre 1,2012-02-01
201210,201210,33312064,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312068,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312069,7,15,6,13,2012,semestre 1,2012-02-01
