PERIODO_COHORTE,CODIGO,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR,ULTIMA_MATRICULA,COD_MEN,AÑO,SEMESTRE,FECHA
201210,11312001,m,22,col coop cooservicios,438,49,no,201710,20708,2012,semestre 1,2012-02-01
201210,11312002,m,23,instituto de educacion media diversificada inem carlos arturo torres,386,48,no,201420,20708,2012,semestre 1,2012-02-01
201210,11312003,f,22,i.e. antonio narino,460,51,no,201620,20708,2012,semestre 1,2012-02-01
201210,11312004,f,25,i.e. luis hernandez vargas,41,42,no,201620,20708,2012,semestre 1,2012-02-01
201210,11312005,m,25,ie tec jose ignacio de marquez,50,49,no,201610,20708,2012,semestre 1,2012-02-01
201210,11312006,f,32,colegio jesus eucaristia,429,45,si,201310,20708,2012,semestre 1,2012-02-01
201210,11312007,m,35,colegio cultural san diego,478,58,si,201210,20708,2012,semestre 1,2012-02-01
201210,11312009,f,28,col. ntra sra del rosario-chiquinquira,421,37,si,201620,20708,2012,semestre 1,2012-02-01
201210,11312011,f,23,gimnasio campestre santo domingo,42,540,no,201420,20708,2012,semestre 1,2012-02-01
201210,11312014,f,29,institucion educativa uribesco,341,42,no,201820,20708,2012,semestre 1,2012-02-01
201210,11312015,f,25,colegio la presentacion - duitama,53,54,no,201510,20708,2012,semestre 1,2012-02-01
201210,11312016,m,29,colegio militar coronel juan jose rondon,39,40,si,201320,20708,2012,semestre 1,2012-02-01
201210,11312017,f,21,i.e.t. san luis,315,46,no,201420,20708,2012,semestre 1,2012-02-01
201210,11312018,m,25,ie nueva generacion,408,48,no,201710,20708,2012,semestre 1,2012-02-01
201210,11412001,m,32,ninguna,47,41,si,201720,20709,2012,semestre 1,2012-02-01
201210,11412002,m,21,col. nuestra senora de fatima,314,48,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412003,f,30,instituto de educacion formal para adultos con enfasis en formacion empresarial comfaboy,373,51,si,201420,20709,2012,semestre 1,2012-02-01
201210,11412004,f,30,colegio corporacion santo domingo,348,52,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412005,f,26,ie fabio riveros,33,36,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412006,f,31,i.e. roberto velandia,420,48,si,201220,20709,2012,semestre 1,2012-02-01
201210,11412007,f,45,ie tecnica nacionalizada de samaca,62,61,si,201210,20709,2012,semestre 1,2012-02-01
201210,11412008,f,29,institucion educativa colegio empresarial de boyaca,298,48,si,201410,20709,2012,semestre 1,2012-02-01
201210,11412011,m,26,colegio corporacion santo domingo,354,46,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412012,f,28,colegio liceo nacional agustin nieto caballero (ied),341,46,si,201310,20709,2012,semestre 1,2012-02-01
201210,11412013,f,23,col coop prospero pinzon,314,48,no,201610,20709,2012,semestre 1,2012-02-01
201210,11412015,f,30,i.e. silvino rodriguez,44,43,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412016,f,27,i.e. indalecio vasquez,40,49,si,201810,20709,2012,semestre 1,2012-02-01
201210,11412017,m,23,colegio guillermo leon valencia,283,49,no,201710,20709,2012,semestre 1,2012-02-01
201210,11412018,m,36,col. militar almirante colon,358,43,si,201210,20709,2012,semestre 1,2012-02-01
201210,11412020,f,26,ie tecnica nacionalizada de samaca,339,40,si,201310,20709,2012,semestre 1,2012-02-01
201210,11412021,f,23,ie antonio ricaurte,44,44,no,201710,20709,2012,semestre 1,2012-02-01
201210,11412022,m,27,inst tec empresarial,333,40,si,201210,20709,2012,semestre 1,2012-02-01
201210,11412024,f,22,ie sagrado corazon,51,51,no,201620,20709,2012,semestre 1,2012-02-01
201210,11412025,f,28,colegio guillermo leon valencia,50,51,si,201210,20709,2012,semestre 1,2012-02-01
201210,11412026,m,38,instituto yolkin,44,45,si,201210,20709,2012,semestre 1,2012-02-01
201210,11412028,f,40,i.e. jose cayetano vasquez,240,48,no,201620,20709,2012,semestre 1,2012-02-01
201210,11712001,f,21,colegio la presentacion - duitama,53,66,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712004,m,26,i.e.t. agroindustrial cusagui,453,46,si,201220,20739,2012,semestre 1,2012-02-01
201210,11712005,m,29,colegio pedagogico de colombia,50,50,si,201710,20739,2012,semestre 1,2012-02-01
201210,11712007,m,26,i.e. suazapawa,55,51,si,201220,20739,2012,semestre 1,2012-02-01
201210,11712008,f,23,ninguna,48,50,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712009,m,27,i.e.t. comercial,45,48,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712010,f,27,liceo anglo americano de sogamoso,49,52,si,201620,20739,2012,semestre 1,2012-02-01
201210,11712011,f,23,institucion educativa integrado joaquin gonzalez camargo,52,53,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712013,f,24,gimnasio campestre santo domingo,57,60,no,201720,20739,2012,semestre 1,2012-02-01
201210,11712014,f,21,ie centro social,50,51,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712015,f,22,ninguna,48,47,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712016,m,22,i.e. la candelaria,434,222,no,201620,20739,2012,semestre 1,2012-02-01
201210,11712017,f,22,i.e. jose antonio galan - chameza,50,51,no,201620,20739,2012,semestre 1,2012-02-01
201210,11712018,m,23,i.e. el rosario - florencia,55,57,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712021,f,28,ie jorge guillermo mojica marquez,42,43,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712022,m,22,ie tec industrial,50,51,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712023,m,26,liceo moderno campestre,53,51,no,201620,20739,2012,semestre 1,2012-02-01
201210,11712024,m,32,col jose asuncion silva,42,40,si,201710,20739,2012,semestre 1,2012-02-01
201210,11712025,m,29,i.e. silvino rodriguez,45,43,si,201310,20739,2012,semestre 1,2012-02-01
201210,11712026,f,26,i.e.colegio la nueva familia,48,47,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712027,f,28,ie rafael uribe uribe,52,57,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712028,m,28,instituto de educacion media diversificada inem carlos arturo torres,295,48,si,201320,20739,2012,semestre 1,2012-02-01
201210,11712031,f,26,inst tec empresarial,49,50,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712032,f,21,instituto tecnico santo tomas de aquino,52,54,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712033,m,27,colegio jesus eucaristia,42,41,si,201310,20739,2012,semestre 1,2012-02-01
201210,11712035,m,30,colegio jesus eucaristia,37,34,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712036,f,24,escuela normal  superior antonia santos,51,52,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712037,f,27,institucion educativa sergio camargo - miraflores,51,53,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712038,f,25,ie puente de piedra,431,47,si,201420,20739,2012,semestre 1,2012-02-01
201210,11712039,f,22,instituto colombo sueco,303,129,no,201610,20739,2012,semestre 1,2012-02-01
201210,11712041,f,27,i.e. tec ind antonio ricaurte,51,57,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712042,f,23,ie braulio gonzalez,41,52,no,201620,20739,2012,semestre 1,2012-02-01
201210,11712043,f,29,colegio nacional san simon,44,45,si,201210,20739,2012,semestre 1,2012-02-01
201210,11712044,f,30,ie tecnica nacionalizada de samaca,43,45,si,201720,20739,2012,semestre 1,2012-02-01
201210,11712045,f,29,centro de capacitacion bolivar cencabo,44,46,no,201711,20739,2012,semestre 1,2012-02-01
201210,11712047,m,31,colegio tecnico municipal simon bolivar,44,48,si,201320,20739,2012,semestre 1,2012-02-01
201210,11912001,f,28,i.e. normal superior sor josefa del castillo y guevara,38,37,si,201310,20739,2012,semestre 1,2012-02-01
201210,11912002,f,30,colegio bolivariano,44,43,si,201210,20739,2012,semestre 1,2012-02-01
201210,11912004,f,21,col militar coronel fray jose ignacio marino,50,51,no,201710,20739,2012,semestre 1,2012-02-01
201210,11912005,f,21,i.e.t. comercial sagrado corazon de jesus,50,54,no,201620,20739,2012,semestre 1,2012-02-01
