COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11304,planeacion y control,11313,administracion basica,prerrequisito
11308,calculo diferencial,11301,matematica basica,prerrequisito
11309,contabilidad comercial,11311,contabilidad basica,prerrequisito
11314,creacion de empresas,11313,administracion basica,prerrequisito
11316,macroeconomia,11310,microeconomia,prerrequisito
11323,organizacion y direccion,11304,planeacion y control,prerrequisito
11324,calculo integral,11308,calculo diferencial,prerrequisito
11327,costos,11309,contabilidad comercial,prerrequisito
11330,ingles ii,11317,ingles i,prerrequisito
11333,estadistica inferencial,11325,estadistica descriptiva,prerrequisito
11340,metodologia y practica de la investigacion,11325,estadistica descriptiva,prerrequisito
11348,preparacion de proyectos,11342,finanzas,prerrequisito
11353,produccion,11339,gestion de calidad,prerrequisito
11354,competitividad,11347,investigacion de operaciones,prerrequisito
11355,evaluacion de proyectos,11348,preparacion de proyectos,prerrequisito
11357,etica profesional,11329,etica general,prerrequisito
11360,trabajo o alternativa de grado,11365,seminario de investigacion,prerrequisito
11361,practica profesional,11301,matematica basica,prerrequisito
11361,practica profesional,11302,logica,prerrequisito
11361,practica profesional,11303,introduccion al programa,prerrequisito
11361,practica profesional,11305,expresion oral y escrita,prerrequisito
11361,practica profesional,11306,deporte formativo,prerrequisito
11361,practica profesional,11307,formacion integral i,prerrequisito
11361,practica profesional,11308,calculo diferencial,prerrequisito
11361,practica profesional,11309,contabilidad comercial,prerrequisito
11361,practica profesional,11310,microeconomia,prerrequisito
11361,practica profesional,11311,contabilidad basica,prerrequisito
11361,practica profesional,11312,iniciativa empresarial,prerrequisito
11361,practica profesional,11313,administracion basica,prerrequisito
11361,practica profesional,11314,creacion de empresas,prerrequisito
11361,practica profesional,11315,informatica basica,prerrequisito
11361,practica profesional,11316,macroeconomia,prerrequisito
11361,practica profesional,11317,ingles i,prerrequisito
11361,practica profesional,11318,formacion integral ii,prerrequisito
11361,practica profesional,11319,electiva libre i,prerrequisito
11361,practica profesional,11320,comportamiento del consumidor,prerrequisito
11361,practica profesional,11321,constitucion y formacion ciudadana,prerrequisito
11361,practica profesional,11322,humanidades,prerrequisito
11361,practica profesional,11324,calculo integral,prerrequisito
11361,practica profesional,11325,estadistica descriptiva,prerrequisito
11361,practica profesional,11326,gerencia del talento humano,prerrequisito
11361,practica profesional,11327,costos,prerrequisito
11361,practica profesional,11328,procesos de mercadeo,prerrequisito
11361,practica profesional,11329,etica general,prerrequisito
11361,practica profesional,11330,ingles ii,prerrequisito
11361,practica profesional,11331,taller de gestion empresarial,prerrequisito
11361,practica profesional,11332,matematicas financieras,prerrequisito
11361,practica profesional,11333,estadistica inferencial,prerrequisito
11361,practica profesional,11334,presupuestos,prerrequisito
11361,practica profesional,11335,investigacion de mercados,prerrequisito
11361,practica profesional,11336,electiva complementaria i,prerrequisito
11361,practica profesional,11337,electiva libre ii,prerrequisito
11361,practica profesional,11338,desarrollo organizacional,prerrequisito
11361,practica profesional,11340,metodologia y practica de la investigacion,prerrequisito
11361,practica profesional,11341,problemas de contexto,prerrequisito
11361,practica profesional,11342,finanzas,prerrequisito
11361,practica profesional,11343,economia colombiana,prerrequisito
11361,practica profesional,11344,legislacion comercial,prerrequisito
11361,practica profesional,11345,electiva complementaria ii,prerrequisito
11361,practica profesional,11346,sistemas de informacion gerencial,prerrequisito
11361,practica profesional,11347,investigacion de operaciones,prerrequisito
11361,practica profesional,11348,preparacion de proyectos,prerrequisito
11361,practica profesional,11349,economia internacional,prerrequisito
11361,practica profesional,11350,legislacion laboral,prerrequisito
11361,practica profesional,11351,electiva de profundizacion i,prerrequisito
11361,practica profesional,11352,modelos de simulacion gerencial,prerrequisito
11361,practica profesional,11355,evaluacion de proyectos,prerrequisito
11361,practica profesional,11356,negocios internacionales,prerrequisito
11361,practica profesional,11357,etica profesional,prerrequisito
11361,practica profesional,11358,electiva de profundizacion ii,prerrequisito
11361,practica profesional,11365,seminario de investigacion,prerrequisito
11365,seminario de investigacion,11340,metodologia y practica de la investigacion,prerrequisito
11404,contabilidad de pasivos,11416,contabilidad activos,prerrequisito
11404,contabilidad financiera ii,11416,contabilidad financiera i,prerrequisito
11408,calculo integral,11414,calculo diferencial,prerrequisito
11411,estadistica,11401,matematica basica,prerrequisito
11414,calculo,11401,matematica basica,prerrequisito
11414,calculo diferencial,11401,matematica basica,prerrequisito
11416,contabilidad activos,11410,contabilidad basica,prerrequisito
11416,contabilidad financiera i,11410,contabilidad,prerrequisito
