CODIGO,FECHA_SOLICITUD,TIPO
55110503,2012-01-10,reingreso
55510048,2012-01-10,reingreso
55510535,2012-01-10,reingreso
55511017,2012-01-10,reingreso
55511018,2012-01-10,reingreso
66311020,2012-01-10,reingreso
66408003,2012-01-10,aplazamiento
66408027,2012-01-10,aplazamiento
66411111,2012-01-10,reingreso
33107027,2012-01-11,reingreso
66510047,2012-01-11,reingreso
77203008,2012-01-11,reingreso
77206008,2012-01-11,reingreso
77208007,2012-01-11,aplazamiento
77411017,2012-01-11,aplazamiento
11409019,2012-01-12,reingreso
11608004,2012-01-12,reingreso
11609018,2012-01-12,reingreso
66209008,2012-01-12,aplazamiento
66409031,2012-01-12,reingreso
66410046,2012-01-12,aplazamiento
66411076,2012-01-12,reingreso
66409089,2012-01-13,aplazamiento
66507034,2012-01-13,reingreso
55310524,2012-01-16,aplazamiento
55510548,2012-01-16,aplazamiento
66109012,2012-01-16,aplazamiento
66112005,2012-01-16,aplazamiento
66409017,2012-01-16,aplazamiento
66409503,2012-01-16,aplazamiento
66410546,2012-01-16,aplazamiento
66409031,2012-01-17,reingreso
66411562,2012-01-17,aplazamiento
33101101,2012-01-18,reingreso
33103056,2012-01-18,reingreso
33103565,2012-01-18,reingreso
33104044,2012-01-18,reingreso
33104523,2012-01-18,reingreso
33107542,2012-01-18,reingreso
33107581,2012-01-18,reingreso
33108071,2012-01-18,reingreso
33108539,2012-01-18,reingreso
33108570,2012-01-18,reingreso
33109013,2012-01-18,aplazamiento
33110512,2012-01-18,reingreso
33111025,2012-01-18,reingreso
33195510,2012-01-18,reingreso
33204512,2012-01-18,reingreso
33206507,2012-01-18,reingreso
33311029,2012-01-18,reingreso
33311043,2012-01-18,reingreso
33311085,2012-01-18,reingreso
66409061,2012-01-18,aplazamiento
66410086,2012-01-18,aplazamiento
77207010,2012-01-18,aplazamiento
77211004,2012-01-18,aplazamiento
11709016,2012-01-19,reingreso
11709056,2012-01-19,reingreso
11711047,2012-01-19,reingreso
11711539,2012-01-19,reingreso
66408077,2012-01-19,aplazamiento
77104013,2012-01-20,reingreso
77207005,2012-01-20,reingreso
11409021,2012-01-21,reingreso
11597510,2012-01-21,reingreso
11604503,2012-01-21,reingreso
33107080,2012-01-21,reingreso
33110545,2012-01-21,reingreso
55611002,2012-01-21,aplazamiento
66411104,2012-01-21,reingreso
77106007,2012-01-21,reingreso
77106008,2012-01-21,reingreso
66211013,2012-01-23,aplazamiento
66403523,2012-01-23,aplazamiento
66406026,2012-01-23,aplazamiento
66409087,2012-01-23,aplazamiento
66412074,2012-01-23,aplazamiento
66504521,2012-01-23,aplazamiento
88110513,2012-01-24,aplazamiento
