,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR,Codigo
0,11,150.0,3.5039999999999996,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.56,M,22.0,COL COOP COOSERVICIOS,438,49,NO,11312001
1,6,139.0,4.1532374100719425,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.64,M,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,386,48,NO,11312002
2,10,141.0,4.078723404255318,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,5.0,F,22.0,I.E. ANTONIO NARIÑO,460,51,NO,11312003
3,10,151.0,3.5,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.36,F,25.0,I.E. LUIS HERNANDEZ VARGAS,41,42,NO,11312004
4,10,139.0,4.069784172661871,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.69,M,25.0,IE TEC JOSE IGNACIO DE MARQUEZ,50,49,NO,11312005
5,3,33.0,2.9,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.73,F,32.0,COLEGIO JESUS EUCARISTIA,429,45,SI,11312006
6,1,15.0,2.5,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.5,M,35.0,COLEGIO CULTURAL SAN DIEGO,478,58,SI,11312007
7,10,132.0,3.3318181818181825,9,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.89,F,28.0,COL. NTRA SRA DEL ROSARIO-CHIQUINQUIRÁ,421,37,SI,11312009
8,6,141.0,4.061702127659574,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.59,F,23.0,GIMNASIO CAMPESTRE SANTO DOMINGO,42,540,NO,11312011
9,12,168.0,3.201190476190477,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.4,F,29.0,INSTITUCIÓN EDUCATIVA URIBESCO,341,42,NO,11312014
10,7,148.0,3.6398648648648653,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.1,F,25.0,COLEGIO LA PRESENTACIÓN - DUITAMA,53,54,NO,11312015
11,4,53.0,2.3113207547169807,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.13,M,29.0,COLEGIO MILITAR CORONEL JUAN JOSE RONDON,39,40,SI,11312016
12,6,139.0,4.1597122302158285,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.97,F,21.0,I.E.T. SAN LUIS,315,46,NO,11312017
13,11,155.0,3.294838709677419,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.12,M,25.0,IE NUEVA GENERACION,408,48,NO,11312018
14,12,151.0,3.5298013245033113,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.6,F,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,401,40,NO,11312501
15,1,15.0,3.853333333333333,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.85,F,27.0,COLEGIO ANDINO,385,52,SI,11312502
16,9,150.0,3.775333333333333,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.46,F,26.0,IE JORGE GUILLERMO MOJICA MARQUEZ,381,37,NO,11312504
17,10,141.0,3.7496453900709223,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.66,F,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,408,48,NO,11312506
18,3,42.0,3.130952380952381,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.84,F,28.0,COLEGIO LA PRESENTACIÓN - DUITAMA,373,43,SI,11312509
19,1,21.0,1.1095238095238096,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.11,M,35.0,COLEGIO CULTURAL SAN DIEGO,478,53,SI,11312511
