,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,ES_DESERTOR,Codigo,PUNT_TOTAL_NORMALIZED,PUNT_AREA_NORMALIZED
0,11,150.0,3.5039999999999996,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.56,M,22.0,COL COOP COOSERVICIOS,NO,11312001,0.5091103965702036,0.07305194805194805
1,6,139.0,4.1532374100719425,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.64,M,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,NO,11312002,0.4533762057877814,0.07142857142857142
2,10,141.0,4.078723404255318,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,5.0,F,22.0,I.E. ANTONIO NARIÑO,NO,11312003,0.532690246516613,0.0762987012987013
3,10,151.0,3.5,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.36,F,25.0,I.E. LUIS HERNANDEZ VARGAS,NO,11312004,0.08360128617363344,0.061688311688311695
4,10,139.0,4.069784172661871,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.69,M,25.0,IE TEC JOSE IGNACIO DE MARQUEZ,NO,11312005,0.0932475884244373,0.07305194805194805
5,3,33.0,2.9,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.73,F,32.0,COLEGIO JESUS EUCARISTIA,SI,11312006,0.4994640943193998,0.06655844155844157
6,1,15.0,2.5,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.5,M,35.0,COLEGIO CULTURAL SAN DIEGO,SI,11312007,0.5519828510182208,0.08766233766233766
7,10,132.0,3.3318181818181825,9,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.89,F,28.0,COL. NTRA SRA DEL ROSARIO-CHIQUINQUIRÁ,SI,11312009,0.4908896034297964,0.053571428571428575
8,6,141.0,4.061702127659574,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.59,F,23.0,GIMNASIO CAMPESTRE SANTO DOMINGO,NO,11312011,0.08467309753483387,0.8701298701298702
9,12,168.0,3.201190476190477,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.4,F,29.0,INSTITUCIÓN EDUCATIVA URIBESCO,NO,11312014,0.40514469453376206,0.061688311688311695
10,7,148.0,3.6398648648648653,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.1,F,25.0,COLEGIO LA PRESENTACIÓN - DUITAMA,NO,11312015,0.09646302250803858,0.08116883116883117
11,4,53.0,2.3113207547169807,14,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.13,M,29.0,COLEGIO MILITAR CORONEL JUAN JOSE RONDON,SI,11312016,0.08145766345123258,0.05844155844155845
12,6,139.0,4.1597122302158285,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.97,F,21.0,I.E.T. SAN LUIS,NO,11312017,0.37727759914255093,0.06818181818181819
13,11,155.0,3.294838709677419,8,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.12,M,25.0,IE NUEVA GENERACION,NO,11312018,0.4769560557341908,0.07142857142857142
14,12,151.0,3.5298013245033113,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.6,F,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,NO,11312501,0.4694533762057878,0.05844155844155845
15,1,15.0,3.853333333333333,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.85,F,27.0,COLEGIO ANDINO,SI,11312502,0.45230439442658094,0.07792207792207792
16,9,150.0,3.775333333333333,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.46,F,26.0,IE JORGE GUILLERMO MOJICA MARQUEZ,NO,11312504,0.4480171489817792,0.053571428571428575
17,10,141.0,3.7496453900709223,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.66,F,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,NO,11312506,0.4769560557341908,0.07142857142857142
18,3,42.0,3.130952380952381,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.84,F,28.0,COLEGIO LA PRESENTACIÓN - DUITAMA,SI,11312509,0.4394426580921758,0.06331168831168832
19,1,21.0,1.1095238095238096,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,1.11,M,35.0,COLEGIO CULTURAL SAN DIEGO,SI,11312511,0.5519828510182208,0.07954545454545454
20,10,123.0,3.261788617886179,11,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.7,F,25.0,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,SI,11312514,0.0857449088960343,0.06493506493506494
21,1,22.0,3.277272727272728,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.28,M,31.0,INSTITUCIÓN EDUCATIVA SERGIO CAMARGO - MIRAFLORES,SI,11312515,0.4469453376205788,0.07467532467532467
22,8,111.0,2.8630630630630627,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.48,M,32.0,INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO,SI,11312518,0.4833869239013934,0.06818181818181819
23,1,13.0,0.15384615384615385,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,0.15,M,29.0,I.E. RAFAEL REYES,SI,11312519,0.5594855305466238,0.08279220779220779
24,1,15.0,3.3933333333333335,0,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.39,F,28.0,IE TECNICA RAMON IGNACIO AVELLA,SI,11312520,0.08467309753483387,0.06006493506493507
25,13,159.0,3.0937106918238997,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.35,M,30.0,COL DULCE CORAZON DE MARIA,NO,11312521,0.4415862808145766,0.06006493506493507
26,11,154.0,3.52012987012987,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.8,M,34.0,INSTITUTO DE FOMACION EDUCATIVA E INVESTIGACION,NO,11313001,0.5005359056806002,0.06331168831168832
27,3,85.0,4.167058823529412,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.1,F,28.0,INSTITUCIÓN EDUCATIVA ANTONIO JOSÉ SANDOVAL GÓMEZ DE TUNJA,SI,11313005,0.4962486602357985,0.06818181818181819
28,1,15.0,2.8866666666666663,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.89,M,25.0,I.E.T. SAN LUIS,SI,11313006,0.4330117899249732,0.08766233766233766
29,11,145.0,3.6717241379310344,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,5.0,F,26.0,INSTITUTO TECNICO INTEGRADO DE TRINIDAD,NO,11313007,0.3804930332261522,0.07954545454545454
