,CODIGO,PERIODO_ACADEMICO,NUM_CREDITOS,GPA,real_GPA
0,11312001,201210,15.0,53.7,3.58
1,11312001,201220,12.0,47.7,3.98
2,11312001,201310,10.0,34.800000000000004,3.48
3,11312001,201320,16.0,56.400000000000006,3.53
4,11312001,201410,14.0,46.099999999999994,3.29
5,11312001,201420,16.0,58.1,3.63
6,11312001,201510,15.0,43.00000000000001,2.87
7,11312001,201520,14.0,48.50000000000001,3.46
8,11312001,201610,11.0,39.9,3.63
9,11312001,201620,13.0,33.599999999999994,2.58
10,11312001,201710,14.0,63.800000000000004,4.56
11,11312002,201210,66.0,290.1000000000001,4.4
12,11312002,201220,14.0,61.7,4.41
13,11312002,201310,14.0,51.8,3.7
14,11312002,201320,16.0,61.8,3.86
15,11312002,201410,11.0,46.4,4.22
16,11312002,201420,18.0,65.5,3.64
17,11312003,201210,17.0,72.00000000000001,4.24
18,11312003,201220,13.0,54.3,4.18
19,11312003,201310,16.0,63.8,3.99
20,11312003,201320,14.0,54.99999999999999,3.93
21,11312003,201410,13.0,49.3,3.79
22,11312003,201420,17.0,75.80000000000001,4.46
23,11312003,201510,15.0,63.0,4.2
24,11312003,201520,12.0,49.6,4.13
25,11312003,201610,16.0,52.3,3.27
26,11312003,201620,8.0,40.0,5.0
27,11312004,201210,15.0,53.2,3.55
28,11312004,201220,14.0,50.2,3.59
29,11312004,201310,17.0,60.7,3.57
30,11312004,201320,14.0,48.6,3.47
31,11312004,201410,13.0,40.8,3.14
32,11312004,201420,16.0,54.2,3.39
33,11312004,201510,14.0,47.0,3.36
34,11312004,201520,12.0,46.89999999999999,3.91
35,11312004,201610,14.0,53.0,3.79
36,11312004,201620,22.0,73.9,3.36
37,11312005,201210,15.0,61.9,4.13
38,11312005,201211,2.0,9.6,4.8
39,11312005,201220,16.0,74.10000000000001,4.63
40,11312005,201310,17.0,68.10000000000001,4.01
41,11312005,201320,17.0,68.9,4.05
42,11312005,201410,14.0,55.3,3.95
43,11312005,201420,9.0,35.0,3.89
44,11312005,201510,13.0,53.6,4.12
45,11312005,201520,14.0,58.099999999999994,4.15
46,11312005,201610,22.0,81.10000000000001,3.69
47,11312006,201210,13.0,32.60000000000001,2.51
48,11312006,201220,10.0,35.8,3.58
49,11312006,201310,10.0,27.3,2.73
50,11312007,201210,15.0,37.5,2.5
51,11312009,201210,31.0,113.4,3.66
52,11312009,201220,13.0,40.5,3.12
53,11312009,201310,11.0,26.4,2.4
54,11312009,201320,8.0,24.5,3.06
55,11312009,201410,8.0,26.6,3.32
56,11312009,201420,20.0,76.19999999999999,3.81
57,11312009,201510,13.0,43.6,3.35
58,11312009,201520,11.0,33.800000000000004,3.07
59,11312009,201610,10.0,27.599999999999998,2.76
60,11312009,201620,7.0,27.2,3.89
61,11312011,201210,66.0,289.2,4.38
62,11312011,201220,11.0,47.2,4.29
63,11312011,201310,17.0,60.4,3.55
64,11312011,201320,13.0,45.39999999999999,3.49
65,11312011,201410,17.0,69.5,4.09
66,11312011,201420,17.0,61.0,3.59
67,11312014,201210,38.0,130.4,3.43
68,11312014,201220,12.0,39.2,3.27
69,11312014,201320,17.0,59.800000000000004,3.52
70,11312014,201410,15.0,48.2,3.21
71,11312014,201420,14.0,36.4,2.6
72,11312014,201510,13.0,42.3,3.25
73,11312014,201511,2.0,8.4,4.2
74,11312014,201520,15.0,46.699999999999996,3.11
75,11312014,201610,13.0,38.800000000000004,2.98
76,11312014,201620,16.0,34.3,2.14
77,11312014,201710,5.0,18.1,3.62
78,11312014,201820,8.0,35.2,4.4
79,11312015,201210,60.0,235.4,3.92
80,11312015,201220,14.0,41.6,2.97
81,11312015,201310,14.0,49.6,3.54
82,11312015,201320,14.0,51.0,3.64
83,11312015,201410,19.0,55.2,2.91
84,11312015,201420,8.0,28.0,3.5
85,11312015,201510,19.0,77.9,4.1
86,11312016,201210,15.0,47.2,3.15
87,11312016,201220,14.0,40.4,2.89
88,11312016,201310,10.0,33.1,3.31
89,11312016,201320,14.0,1.8,0.13
90,11312017,201210,61.0,255.49999999999997,4.19
91,11312017,201220,16.0,67.30000000000001,4.21
92,11312017,201310,17.0,71.4,4.2
93,11312017,201320,18.0,77.1,4.28
94,11312017,201410,16.0,52.199999999999996,3.26
95,11312017,201420,11.0,54.7,4.97
96,11312018,201210,15.0,50.2,3.35
97,11312018,201220,14.0,47.7,3.41
98,11312018,201310,16.0,51.1,3.19
99,11312018,201320,15.0,47.9,3.19
100,11312018,201410,12.0,38.6,3.22
101,11312018,201420,13.0,46.9,3.61
102,11312018,201510,17.0,56.7,3.34
103,11312018,201520,13.0,42.300000000000004,3.25
104,11312018,201610,16.0,37.4,2.34
105,11312018,201620,10.0,34.2,3.42
106,11312018,201710,14.0,57.7,4.12
107,11312501,201220,15.0,52.9,3.53
108,11312501,201310,14.0,47.7,3.41
109,11312501,201320,15.0,49.4,3.29
110,11312501,201410,12.0,40.4,3.37
111,11312501,201420,14.0,48.699999999999996,3.48
112,11312501,201510,15.0,54.400000000000006,3.63
113,11312501,201520,14.0,49.7,3.55
114,11312501,201610,12.0,45.0,3.75
