,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,Mandatory_subjects_GPA,Optinals_GPA,failed_mandatory,failed_optional,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR
0,11,150.0,3.5039999999999996,5,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.51,3.49,5.0,0.0,4.56,M,22.0,COL COOP COOSERVICIOS,438,49,NO
1,6,139.0,4.1532374100719425,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.15,4.18,1.0,0.0,3.64,M,23.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,386,48,NO
2,10,141.0,4.078723404255318,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.09,4.05,1.0,1.0,5.0,F,22.0,I.E. ANTONIO NARIÑO,460,51,NO
3,10,151.0,3.5,7,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.5,3.49,4.0,3.0,3.36,F,25.0,I.E. LUIS HERNANDEZ VARGAS,41,42,NO
4,10,139.0,4.069784172661871,1,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.08,4.03,1.0,0.0,3.69,M,25.0,IE TEC JOSE IGNACIO DE MARQUEZ,50,49,NO
5,3,33.0,2.9,6,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.09,2.07,4.0,2.0,2.73,F,32.0,COLEGIO JESUS EUCARISTIA,429,45,SI
6,1,15.0,2.5,4,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,2.41,3.1,4.0,0.0,2.5,M,35.0,COLEGIO CULTURAL SAN DIEGO,478,58,SI
7,10,132.0,3.3318181818181825,9,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.29,3.54,9.0,0.0,3.89,F,28.0,COL. NTRA SRA DEL ROSARIO-CHIQUINQUIRÁ,421,37,SI
8,6,141.0,4.061702127659574,2,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,4.01,4.24,1.0,1.0,3.59,F,23.0,GIMNASIO CAMPESTRE SANTO DOMINGO,42,540,NO
9,12,168.0,3.201190476190477,15,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y CONTABLES,ADMINISTRACIÓN DE EMPRESAS,3.24,3.06,11.0,4.0,4.4,F,29.0,INSTITUCIÓN EDUCATIVA URIBESCO,341,42,NO
