PERIODO_COHORTE;CODIGO;GENERO;EDAD;COLEGIO_PROCEDENCIA;PUNT_TOTAL;PUNT_AREA;ES_DESERTOR
201210;11312001;M;22;COL COOP COOSERVICIOS;438;49;NO
201210;11312002;M;23;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;386;48;NO
201210;11312003;F;22;I.E. ANTONIO NARIÑO;460;51;NO
201210;11312004;F;25;I.E. LUIS HERNANDEZ VARGAS;41;42;NO
201210;11312005;M;25;IE TEC JOSE IGNACIO DE MARQUEZ;50;49;NO
201210;11312006;F;32;COLEGIO JESUS EUCARISTIA;429;45;SI
201210;11312007;M;35;COLEGIO CULTURAL SAN DIEGO;478;58;SI
201210;11312009;F;28;COL. NTRA SRA DEL ROSARIO-CHIQUINQUIRÁ;421;37;SI
201210;11312011;F;23;GIMNASIO CAMPESTRE SANTO DOMINGO;42;540;NO
201210;11312014;F;29;INSTITUCIÓN EDUCATIVA URIBESCO;341;42;NO
201210;11312015;F;25;COLEGIO LA PRESENTACIÓN - DUITAMA;53;54;NO
201210;11312016;M;29;COLEGIO MILITAR CORONEL JUAN JOSE RONDON;39;40;SI
201210;11312017;F;21;I.E.T. SAN LUIS;315;46;NO
201210;11312018;M;25;IE NUEVA GENERACION;408;48;NO
201210;11412001;M;32;NINGUNA;47;41;SI
201210;11412002;M;21;COL. NUESTRA SEÑORA DE FÁTIMA;314;48;NO
201210;11412003;F;30;INSTITUTO DE EDUCACION FORMAL PARA ADULTOS CON ENFASIS EN FORMACION EMPRESARIAL COMFABOY;373;51;SI
201210;11412004;F;30;COLEGIO CORPORACION SANTO DOMINGO;348;52;NO
201210;11412005;F;26;IE FABIO RIVEROS;33;36;NO
201210;11412006;F;31;I.E. ROBERTO VELANDIA;420;48;SI
201210;11412007;F;45;IE TECNICA NACIONALIZADA DE SAMACA;62;61;SI
201210;11412008;F;29;INSTITUCIÓN EDUCATIVA COLEGIO EMPRESARIAL DE BOYACÁ;298;48;SI
201210;11412011;M;26;COLEGIO CORPORACION SANTO DOMINGO;354;46;NO
201210;11412012;F;28;COLEGIO LICEO NACIONAL AGUSTIN NIETO CABALLERO (IED);341;46;SI
201210;11412013;F;23;COL COOP PROSPERO PINZON;314;48;NO
201210;11412015;F;30;I.E. SILVINO RODRIGUEZ;44;43;NO
201210;11412016;F;27;I.E. INDALECIO VASQUEZ;40;49;SI
201210;11412017;M;23;COLEGIO GUILLERMO LEON VALENCIA;283;49;NO
201210;11412018;M;35;COL. MILITAR ALMIRANTE COLON;358;43;SI
201210;11412020;F;25;IE TECNICA NACIONALIZADA DE SAMACA;339;40;SI
201210;11412021;F;23;IE ANTONIO RICAURTE;44;44;NO
201210;11412022;M;27;INST TEC EMPRESARIAL;333;40;SI
201210;11412024;F;22;IE SAGRADO CORAZON;51;51;NO
201210;11412025;F;28;COLEGIO GUILLERMO LEON VALENCIA;50;51;SI
201210;11412026;M;38;INSTITUTO YOLKIN;44;45;SI
201210;11412028;F;40;I.E. JOSE CAYETANO VASQUEZ;240;48;NO
201210;11712001;F;21;COLEGIO LA PRESENTACIÓN - DUITAMA;53;66;NO
201210;11712004;M;26;I.E.T. AGROINDUSTRIAL CUSAGUI;453;46;SI
201210;11712005;M;28;COLEGIO PEDAGÓGICO DE COLOMBIA;50;50;SI
201210;11712007;M;26;I.E. SUAZAPAWA;55;51;SI
201210;11712008;F;23;NINGUNA;48;50;NO
201210;11712009;M;27;I.E.T. COMERCIAL;45;48;SI
201210;11712010;F;27;LICEO ANGLO AMERICANO DE SOGAMOSO;49;52;SI
201210;11712011;F;23;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;52;53;NO
201210;11712013;F;24;GIMNASIO CAMPESTRE SANTO DOMINGO;57;60;NO
201210;11712014;F;21;IE CENTRO SOCIAL;50;51;NO
201210;11712015;F;22;NINGUNA;48;47;NO
201210;11712016;M;22;I.E. LA CANDELARIA;434;222;NO
201210;11712017;F;22;I.E. JOSE ANTONIO GALAN - CHAMEZA;50;51;NO
201210;11712018;M;23;I.E. EL ROSARIO - FLORENCIA;55;57;NO
201210;11712021;F;28;IE JORGE GUILLERMO MOJICA MARQUEZ;42;43;SI
201210;11712022;M;22;IE TEC INDUSTRIAL;50;51;NO
201210;11712023;M;26;LICEO MODERNO CAMPESTRE;53;51;NO
201210;11712024;M;32;COL JOSE ASUNCION SILVA;42;40;SI
201210;11712025;M;29;I.E. SILVINO RODRIGUEZ;45;43;SI
201210;11712026;F;26;I.E.COLEGIO LA NUEVA FAMILIA;48;47;SI
201210;11712027;F;27;IE RAFAEL URIBE URIBE;52;57;SI
201210;11712028;M;28;INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES;295;48;SI
201210;11712031;F;26;INST TEC EMPRESARIAL;49;50;SI
201210;11712032;F;21;INSTITUTO TECNICO SANTO TOMAS DE AQUINO;52;54;NO
201210;11712033;M;27;COLEGIO JESUS EUCARISTIA;42;41;SI
201210;11712035;M;30;COLEGIO JESUS EUCARISTIA;37;34;SI
201210;11712036;F;24;ESCUELA NORMAL  SUPERIOR ANTONIA SANTOS;51;52;NO
201210;11712037;F;27;INSTITUCIÓN EDUCATIVA SERGIO CAMARGO - MIRAFLORES;51;53;NO
201210;11712038;F;25;IE PUENTE DE PIEDRA;431;47;SI
201210;11712039;F;22;INSTITUTO COLOMBO SUECO;303;129;NO
201210;11712041;F;26;I.E. TEC IND ANTONIO RICAURTE;51;57;SI
201210;11712042;F;23;IE BRAULIO GONZALEZ;41;52;NO
201210;11712043;F;29;COLEGIO NACIONAL SAN SIMON;44;45;SI
201210;11712044;F;30;IE TECNICA NACIONALIZADA DE SAMACA;43;45;SI
201210;11712045;F;29;CENTRO DE CAPACITACIÓN BOLÍVAR CENCABO;44;46;NO
201210;11712047;M;31;COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR;44;48;SI
201210;11912001;F;27;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;38;37;SI
201210;11912002;F;30;COLEGIO BOLIVARIANO;44;43;SI
201210;11912004;F;21;COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO;50;51;NO
201210;11912005;F;21;I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS;50;54;NO
201210;11912006;F;23;COLEGIO NUESTRA SEÑORA DE NAZARETH;47;54;NO
201210;11912007;F;27;I.E. TEC IND JULIO FLOREZ;49;46;SI
201210;11912008;F;21;I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS;55;55;NO
201210;11912009;F;21;I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS;54;58;NO
201210;11912010;F;26;I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS;45;42;SI
201210;11912011;F;28;IE ALBERT EINSTEIN;53;56;SI
201210;11912013;F;28;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;44;44;SI
201210;11912014;F;27;I.E. AGRICOLA ANTONIO NARIÑO;37;34;SI
201210;11912015;F;20;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;60;58;NO
201210;11912016;M;31;IE NORMAL SUPERIOR - SABOYÁ;47;46;SI
201210;11912019;M;29;IE ALBERT EINSTEIN;43;42;SI
201210;11912020;M;26;COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO;49;49;NO
201210;11912021;F;24;COLEGIO NUESTRA SEÑORA DE NAZARETH;43;38;NO
201210;11912022;F;21;I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA;67;66;NO
201210;33112012;F;24;COLEGIO DEPARTAMENTAL MIXTO SIMON BOLIVAR;55;56;NO
201210;33112016;F;27;INST TEC EMPRESARIAL;48;48;NO
201210;33112018;M;23;IE BRAULIO GONZALEZ;45;43;NO
201210;33112024;M;29;INSTITUTO SAN FERNANDO FERRINI;54;60;NO
201210;33112025;F;26;IE EL PARAISO;50;58;SI
201210;33112026;F;49;CENT EDUC JOSE JOAQUIN CASTRO MARTINEZ;340;40;SI
